epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.16488899290561676,1.9546266794204712,0.001,0.19771768152713776,1.934328556060791
1,0.1718963235616684,1.9176054000854492,0.001,0.11882907152175903,1.9263821840286255
2,0.19037578999996185,1.89131760597229,0.001,0.20466385781764984,1.915913462638855
3,0.21394021809101105,1.864591121673584,0.001,0.16249069571495056,1.9144161939620972
4,0.21611063182353973,1.8434721231460571,0.001,0.21905234456062317,1.8917044401168823
5,0.22993922233581543,1.817442536354065,0.001,0.16645993292331696,1.8925492763519287
6,0.24376782774925232,1.7978994846343994,0.001,0.16249069571495056,1.8842852115631104
7,0.25083714723587036,1.7826818227767944,0.001,0.16571570932865143,1.8811208009719849
8,0.2612551152706146,1.76835036277771,0.001,0.1825849711894989,1.8761197328567505
9,0.2709289491176605,1.751004934310913,0.001,0.18829074501991272,1.8709684610366821
10,0.2753317654132843,1.7364389896392822,0.00090483745,0.21260233223438263,1.8638920783996582
11,0.2889123260974884,1.7198983430862427,0.0008187308,0.23616968095302582,1.8604708909988403
12,0.288726270198822,1.7094160318374634,0.0007408183,0.21012155711650848,1.869191288948059
13,0.29777997732162476,1.6968876123428345,0.00067032006,0.20739270746707916,1.8470271825790405
14,0.30007442831993103,1.6891483068466187,0.0006065307,0.20094269514083862,1.8590872287750244
15,0.30534541606903076,1.6783376932144165,0.0005488117,0.20664846897125244,1.8527840375900269
16,0.3110504746437073,1.668644905090332,0.00049658533,0.20838502049446106,1.869009017944336
17,0.3106164038181305,1.6603821516036987,0.00044932897,0.2011907696723938,1.8690446615219116
18,0.316135436296463,1.6552107334136963,0.00040656966,0.22202926874160767,1.8670248985290527
19,0.3144611120223999,1.6528366804122925,0.00036787943,0.2148350328207016,1.8536161184310913
20,0.32091033458709717,1.6442519426345825,0.00033287107,0.21657156944274902,1.86016845703125
21,0.32283270359039307,1.6448383331298828,0.0003011942,0.21210618317127228,1.8456101417541504
22,0.3183058500289917,1.639591097831726,0.0002725318,0.2158273309469223,1.8556581735610962
23,0.3246310353279114,1.6348180770874023,0.00024659696,0.22351773083209991,1.848802089691162
24,0.32909587025642395,1.6271865367889404,0.00022313016,0.20962540805339813,1.8629792928695679
25,0.32766959071159363,1.6217238903045654,0.00020189652,0.22351773083209991,1.8583400249481201
26,0.32500308752059937,1.6264324188232422,0.00018268352,0.21136194467544556,1.8552725315093994
27,0.3302741050720215,1.6213607788085938,0.00016529889,0.22103697061538696,1.8537920713424683
28,0.3297159969806671,1.6201748847961426,0.00014956862,0.218804270029068,1.853013515472412
29,0.3285377621650696,1.6182103157043457,0.00013533529,0.2088811695575714,1.8559362888336182
30,0.33337467908859253,1.6115381717681885,0.00012245643,0.21136194467544556,1.861958622932434
31,0.3336227238178253,1.6145553588867188,0.000110803165,0.2128504067659378,1.8643603324890137
