epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.33145231008529663,1.7405272722244263,0.001,0.20367154479026794,2.2646400928497314
1,0.42267146706581116,1.460037112236023,0.001,0.27883899211883545,2.0998518466949463
2,0.45839017629623413,1.3512026071548462,0.001,0.2646985948085785,2.067986488342285
3,0.4799082279205322,1.3041443824768066,0.001,0.30215826630592346,1.9599428176879883
4,0.5019223690032959,1.2459564208984375,0.001,0.32746216654777527,1.9527528285980225
5,0.5150688290596008,1.2149028778076172,0.001,0.31605061888694763,2.1197407245635986
6,0.5313158631324768,1.1760859489440918,0.001,0.31704291701316833,2.1282355785369873
7,0.5388813018798828,1.1619470119476318,0.001,0.322500616312027,2.139308452606201
8,0.5460126399993896,1.137116551399231,0.001,0.32299676537513733,2.142944574356079
9,0.541857898235321,1.1355712413787842,0.001,0.32274869084358215,2.13974666595459
10,0.5613915324211121,1.1005041599273682,0.00090483745,0.3358967900276184,2.0940072536468506
11,0.5719955563545227,1.0683283805847168,0.0008187308,0.34507566690444946,2.0815744400024414
12,0.5861341953277588,1.0434844493865967,0.0007408183,0.3594641387462616,1.9926156997680664
13,0.5950018763542175,1.0131808519363403,0.00067032006,0.35127758979797363,2.2463743686676025
14,0.6025052666664124,0.9905690550804138,0.0006065307,0.36070454120635986,2.048719644546509
15,0.613667368888855,0.9758511781692505,0.0005488117,0.36368146538734436,2.1692874431610107
16,0.6193724274635315,0.9452159404754639,0.00049658533,0.3644256889820099,2.2241132259368896
17,0.6291082501411438,0.9357336759567261,0.00044932897,0.363185316324234,2.1780948638916016
18,0.6297904253005981,0.9288084506988525,0.00040656966,0.3701314926147461,2.2324302196502686
19,0.6371697783470154,0.9114438891410828,0.00036787943,0.3768295645713806,2.186859130859375
20,0.6441150903701782,0.8999863862991333,0.00033287107,0.38625651597976685,2.177680253982544
21,0.648517906665802,0.8898270130157471,0.0003011942,0.38724881410598755,2.1327731609344482
22,0.65571129322052,0.8715417385101318,0.0002725318,0.37037956714630127,2.240367889404297
23,0.6613543629646301,0.8658572435379028,0.00024659696,0.3718680143356323,2.251506805419922
24,0.6572615504264832,0.8673198223114014,0.00022313016,0.39022573828697205,2.299630880355835
